Cluster,z,l,b,T,T_plus,T_minus,Lx,sigma_L,f,N_Hot,Z,Z_plus,Z_minus,Instrument
Coma,0.023,57.227,87.993,7.41,0.049,0.046,3.457,12.4,288.00,0.88,0.417,0.021,0.018,Chandra
A3526***,0.009,302.399,21.561,3.401,0.041,0.043,0.466,3.9,240.00,12.20,0.436,0.022,0.013,Chandra
A3571,0.039,316.320,28.561,7.362,0.158,0.171,3.932,10.0,109.00,5.08,0.597,0.04,0.042,Chandra
A1367,0.021,235.084,73.015,3.812,0.011,0.01,1.083,6.0,107.00,1.89,0.333,0.022,0.018,Chandra
A2199,0.030,62.931,43.694,4.036,0.052,0.045,1.908,2.6,93.90,0.91,0.365,0.015,0.011,Chandra
2A0335,0.035,176.261,-35.054,3.219,0.052,0.046,3.031,3.1,89.30,30.50,0.385,0.027,0.024,Chandra
A1060,0.013,269.596,26.488,2.788,0.092,0.079,0.326,6.5,87.90,6.18,0.486,0.039,0.045,Chandra
A0496,0.033,209.585,-36.485,4.638,0.087,0.085,1.869,3.7,76.70,5.99,0.537,0.038,0.046,Chandra
A0085,0.056,115.231,-72.029,7.234,0.054,0.076,5.006,3.2,71.50,3.10,0.389,0.012,0.014,Chandra
A0262,0.016,136.571,-25.090,2.196,0.055,0.038,0.444,4.0,70.60,7.14,0.388,0.019,0.013,Chandra
A3667,0.056,340.861,-33.391,6.38,0.019,0.018,4.870,5.3,68.00,5.26,0.409,0.007,0.012,Chandra
A2029,0.077,6.438,50.534,8.446,0.126,0.107,8.966,7.1,63.10,3.73,0.401,0.034,0.039,Chandra
NGC5044***,0.009,311.233,46.095,1.267,0.01,0.01,0.138,23.1,62.60,6.25,0.282,0.021,0.017,Chandra
A1795,0.062,33.822,77.184,6.42,0.055,0.083,5.486,2.8,60.60,1.23,0.311,0.009,0.011,Chandra
A3558,0.048,311.987,30.726,5.831,0.164,0.155,3.300,3.9,59.10,4.84,0.334,0.072,0.067,Chandra
A2142,0.089,44.222,48.685,11.633,0.166,0.158,10.803,3.0,56.00,4.36,0.473,0.032,0.033,Chandra
A2052,0.035,9.412,50.120,2.879,0.04,0.041,1.447,3.6,50.80,3.03,0.43,0.021,0.02,Chandra
A4038,0.030,25.139,-75.861,2.843,0.06,0.059,1.035,3.8,50.50,1.64,0.398,0.031,0.029,Chandra
A3266,0.059,272.127,-40.134,9.919,0.248,0.265,4.012,1.8,49.20,1.72,0.34,0.055,0.049,Chandra
A2147,0.035,28.970,44.535,4.262,0.181,0.137,1.369,7.0,47.90,3.38,0.42,0.051,0.058,Chandra
NGC4636***,0.004,297.745,65.470,0.826,0.003,0.002,0.014,25.1,47.30,2.07,0.442,0.01,0.011,Chandra
A0401,0.074,164.185,-38.870,7.064,0.189,0.182,6.866,6.5,47.20,15.2,0.394,0.065,0.062,Chandra
NGC1550,0.013,190.972,-31.847,1.209,0.014,0.016,0.200,6.1,46.00,16.2,0.266,0.018,0.022,Chandra
A2256,0.058,111.014,31.759,8.234,0.076,0.06,3.664,2.1,45.10,4.95,0.365,0.018,0.022,Chandra
A0780,0.054,242.925,25.096,3.847,0.017,0.027,2.720,9.1,40.20,5.53,0.334,0.013,0.013,Chandra
A2063,0.036,12.812,49.681,3.337,0.098,0.081,1.143,4.6,39.70,2.97,0.381,0.043,0.046,Chandra
A0478,0.088,182.433,-28.286,10.895,0.052,0.406,8.764,5.1,38.90,25.70,0.437,0.001,0.002,Chandra
A1644,0.047,304.878,45.450,5.253,0.104,0.089,1.886,10.0,36.80,5.10,0.361,0.041,0.042,Chandra
A1736,0.046,312.569,35.024,3.336,0.065,0.066,1.684,6.5,34.50,5.49,0.513,0.049,0.036,Chandra
A3158,0.059,265.052,-48.934,5.417,0.089,0.078,2.791,3.3,34.00,1.40,0.517,0.039,0.036,Chandra
MKW3s,0.044,11.394,49.458,3.306,0.075,0.069,1.469,5.1,32.90,3.00,0.441,0.051,0.046,Chandra
A0119,0.044,125.714,-64.062,5.824,0.172,0.126,1.487,5.3,31.90,3.98,0.313,0.038,0.035,Chandra
A4059,0.047,356.360,-76.081,4.395,0.078,0.072,1.640,5.5,31.30,1.26,0.49,0.046,0.043,Chandra
A3581,0.023,323.139,32.856,1.703,0.036,0.026,0.377,5.8,30.20,5.32,0.313,0.034,0.038,Chandra
RBS0540,0.040,203.300,-36.161,2.774,0.135,0.147,1.293,5.8,29.90,12.40,0.412,0.082,0.076,Chandra
A0399,0.072,164.315,-39.458,6.686,0.138,0.129,4.146,5.4,29.20,16.8,0.249,0.047,0.042,Chandra
A3112,0.075,252.934,-56.076,5.486,0.133,0.128,3.820,3.9,28.60,1.38,0.387,0.066,0.066,Chandra
A2589,0.042,94.620,-41.200,3.56,0.059,0.063,0.986,11.2,25.20,3.53,0.39,0.027,0.029,Chandra
A2657,0.040,96.720,-50.259,3.755,0.113,0.128,1.000,6.0,24.70,8.17,0.319,0.055,0.048,Chandra
